file,subject,condition,c1_gating_pac_mean,c1_gating_pac_std,c2_organization_plv_mean,c2_organization_plv_std,c3_regime_timing_corr,c3_regime_timing_pval,c3_n_transitions,c2_ablation_randomize_plv_mean,c3_ablation_randomize_corr,c3_ablation_randomize_pval,c2_ablation_destroy_coherence_plv_mean,c3_ablation_destroy_coherence_corr,c3_ablation_destroy_coherence_pval
S001_task-EyesClosed_eeg.mat,S001,eyes_closed,2.5225454465919412,2.553067753041781,0.41382020551793797,0.2562890583256864,,,0,0.41382020551793797,,,0.868606007041058,0.9999983326098901,2.584577626737545e-09
S001_task-EyesOpen_eeg.mat,S001,eyes_closed,1.45109707945154,0.21568308769583117,0.7635204531298802,0.15199511603785662,-0.25862772343995866,0.6744136943792857,1,0.7635204531298802,-0.25862772343995866,0.6744136943792857,0.7688573211359073,0.9999983175185893,2.6197458409584056e-09
S002_task-EyesClosed_eeg.mat,S002,eyes_closed,2.192893505998706,1.1286643199047914,0.5099754102585636,0.2531283876525896,-0.2505902152710335,0.6843100771508596,1,0.5099754102585636,-0.2505902152710335,0.6843100771508596,0.7001297961918804,0.9999982386920168,2.8059937413910087e-09
S002_task-EyesOpen_eeg.mat,S002,eyes_closed,0.8232334112882179,0.7529861816604165,0.5166490828286078,0.2812125969876978,0.9992946196974221,2.248655330402427e-05,1,0.5166490828286078,0.9992946196974221,2.248655330402427e-05,0.8616665768587386,0.9999983268470138,2.597988520159551e-09
S003_task-EyesClosed_eeg.mat,S003,eyes_closed,2.0778776303898963,1.6921994496563257,0.6524657206573988,0.21893022081017555,-0.2535782097185043,0.6806285090307731,1,0.6524657206573988,-0.2535782097185043,0.6806285090307731,0.777951567062789,0.9999982128027427,2.8680880164484583e-09
S003_task-EyesOpen_eeg.mat,S003,eyes_closed,2.346815065380979,0.7162628981705674,0.710254122064484,0.19110989582524238,-0.2500455171003921,0.6849815289289418,1,0.710254122064484,-0.2500455171003921,0.6849815289289418,0.6298580375499057,0.9999985195690986,2.162300125188986e-09
S004_task-EyesClosed_eeg.mat,S004,eyes_closed,1.4190028869728897,0.734476615246585,0.7239597070676552,0.12621350690199012,,,0,0.7239597070676552,,,0.858490232879403,0.9999984280162018,2.365951585812472e-09
S004_task-EyesOpen_eeg.mat,S004,eyes_closed,0.35625165786898394,0.17724118300749664,0.7176950608996459,0.15771160770336598,-0.26480782986755513,0.666819222244447,1,0.7176950608996457,-0.2648078298675552,0.666819222244447,0.7794779974706363,0.9999985426867508,2.111850313447449e-09
S005_task-EyesClosed_eeg.mat,S005,eyes_closed,1.1626155053995726,0.327048600182039,0.4837061417691153,0.17733362206474196,,,0,0.4837061417691153,,,0.8177593859178154,0.9999982524566502,2.773164807166175e-09
S005_task-EyesOpen_eeg.mat,S005,eyes_closed,0.9207593283453612,0.2944794042294037,0.46933403472979585,0.2457349991342581,0.9999982485334621,2.7825085663128252e-09,1,0.4693340347297958,0.9999982485334621,2.7825085663128252e-09,0.8692613549613184,0.9999983090831694,2.6394723545580176e-09
